sample,uptime_ms,elapsed_ms,elapsed_s,run,mode,x_in,y_in,heading_deg,linear_speed_ips,angular_speed_dps,battery_mv,battery_capacity_pct,missed_samples,m5_left_front_rpm,m5_left_front_target_rpm,m5_left_front_temp_c,m5_left_front_voltage_mv,m5_left_front_current_ma,m13_left_middle_rpm,m13_left_middle_target_rpm,m13_left_middle_temp_c,m13_left_middle_voltage_mv,m13_left_middle_current_ma,m12_left_back_rpm,m12_left_back_target_rpm,m12_left_back_temp_c,m12_left_back_voltage_mv,m12_left_back_current_ma,m17_right_front_rpm,m17_right_front_target_rpm,m17_right_front_temp_c,m17_right_front_voltage_mv,m17_right_front_current_ma,m14_right_middle_rpm,m14_right_middle_target_rpm,m14_right_middle_temp_c,m14_right_middle_voltage_mv,m14_right_middle_current_ma,m15_right_back_rpm,m15_right_back_target_rpm,m15_right_back_temp_c,m15_right_back_voltage_mv,m15_right_back_current_ma,m19_intake_bottom_rpm,m19_intake_bottom_target_rpm,m19_intake_bottom_temp_c,m19_intake_bottom_voltage_mv,m19_intake_bottom_current_ma,m20_intake_top_rpm,m20_intake_top_target_rpm,m20_intake_top_temp_c,m20_intake_top_voltage_mv,m20_intake_top_current_ma
0,12000,0,0.0,SYNTHETIC_EXAMPLE,autonomous,-42.0,-54.0,59.661,0.0,0.0,12777,95,0,0.0,0,35,0,65,0.0,0,35,0,65,0.0,0,35,0,65,0.0,0,35,0,65,0.0,0,35,0,65,0.0,0,35,0,65,-0.0,0,45,0,65,-0.0,0,45,0,65
1,12050,50,0.05,SYNTHETIC_EXAMPLE,autonomous,-41.9999,-54.0,59.661,0.0016,-0.0,12776,95,0,0.01,0,35,0,65,0.01,0,35,0,65,0.01,0,35,0,65,0.01,0,35,0,65,0.01,0,35,0,65,0.01,0,35,0,65,-0.0,0,45,0,65,-0.0,0,45,0,65
2,12100,100,0.1,SYNTHETIC_EXAMPLE,autonomous,-41.9995,-53.9997,59.661,0.011,-0.0,12776,95,0,0.06,0,35,1,65,0.06,0,35,1,65,0.06,0,35,1,65,0.06,0,35,1,65,0.06,0,35,1,65,0.06,0,35,1,65,-0.0,0,45,0,65,-0.0,0,45,0,65
3,12150,150,0.15,SYNTHETIC_EXAMPLE,autonomous,-41.9982,-53.9989,59.661,0.0296,-0.0,12776,95,0,0.17,0,35,3,66,0.17,0,35,3,66,0.17,0,35,3,66,0.17,0,35,3,66,0.17,0,35,3,66,0.17,0,35,3,66,-0.0,0,45,0,65,-0.0,0,45,0,65
4,12200,200,0.2,SYNTHETIC_EXAMPLE,autonomous,-41.9957,-53.9975,59.661,0.0572,-0.0,12776,95,0,0.34,0,35,7,66,0.34,0,35,7,66,0.34,0,35,7,66,0.34,0,35,7,66,0.34,0,35,7,66,0.34,0,35,7,66,-0.0,0,45,0,65,-0.0,0,45,0,65
5,12250,250,0.25,SYNTHETIC_EXAMPLE,autonomous,-41.9917,-53.9951,59.661,0.0937,-0.0,12776,95,0,0.55,0,35,11,67,0.55,0,35,11,67,0.55,0,35,11,67,0.55,0,35,11,67,0.55,0,35,11,67,0.55,0,35,11,67,-0.0,0,45,0,65,-0.0,0,45,0,65
6,12300,300,0.3,SYNTHETIC_EXAMPLE,autonomous,-41.9857,-53.9916,59.661,0.1389,-0.0,12775,95,0,0.82,0,35,16,67,0.82,0,35,16,67,0.82,0,35,16,67,0.82,0,35,16,67,0.82,0,35,16,67,0.82,0,35,16,67,-0.0,0,45,0,65,-0.0,0,45,0,65
7,12350,350,0.35,SYNTHETIC_EXAMPLE,autonomous,-41.9774,-53.9868,59.661,0.1925,-0.0,12775,95,0,1.13,0,35,23,68,1.13,0,35,23,68,1.13,0,35,23,68,1.13,0,35,23,68,1.13,0,35,23,68,1.13,0,35,23,68,-0.0,0,45,0,65,-0.0,0,45,0,65
8,12400,400,0.4,SYNTHETIC_EXAMPLE,autonomous,-41.9664,-53.9803,59.661,0.2544,-0.0001,12775,95,0,1.49,0,35,30,69,1.5,0,35,30,69,1.5,0,35,30,69,1.49,0,35,30,69,1.5,0,35,30,69,1.49,0,35,30,69,-0.0,0,45,0,65,-0.0,0,45,0,65
9,12450,450,0.45,SYNTHETIC_EXAMPLE,autonomous,-41.9524,-53.9721,59.661,0.3244,-0.0002,12774,95,0,1.91,0,35,38,70,1.91,0,35,38,70,1.91,0,35,38,70,1.91,0,35,38,70,1.91,0,35,38,70,1.91,0,35,38,70,-0.0,0,45,0,65,-0.0,0,45,0,65
